step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
22,CASH_IN,41158.47,C179057030,5987329.93,6028488.4,C1926445494,400543.1,359384.63,0
14,CASH_OUT,72452.61,C1219710868,0,0,C1465478513,1734469.92,1777347.58,0
41,CASH_OUT,7148.71,C1847885332,20217,13068.29,C497780866,8243767.22,8250915.93,0
43,PAYMENT,14491.14,C1362163448,269,0,M905148106,0,0,0
48,PAYMENT,7705.95,C2916264,59682,51976.05,M1985830583,0,0,0
17,CASH_OUT,97485.99,C1138932845,264532,167046.01,C955309867,75232.27,188304.65,0
40,TRANSFER,233901.96,C1386123708,0,0,C1257953798,2601544.49,2835446.45,0
16,CASH_IN,233177.46,C598751297,8098,241275.46,C946444174,14870,0,0
19,CASH_IN,457258.78,C569795399,1736196.89,2193455.67,C976928413,699371.66,487591.46,0
44,CASH_OUT,466044.81,C235512135,0,0,C1225911878,1111205.03,1577249.84,0
44,PAYMENT,2867.82,C1043038043,59843.09,56975.28,M395123288,0,0,0
19,CASH_IN,227215.54,C1173838891,52337,279552.54,C1433578344,962899.49,735683.95,0
38,CASH_OUT,285873.95,C382420542,0,0,C672923509,2078410.28,2364284.23,0
42,CASH_OUT,35576.25,C310647380,0,0,C249904406,191581.02,323453.16,0
14,CASH_OUT,93524.86,C993722585,184,0,C1514884249,1.07E+07,1.12E+07,0
19,CASH_IN,55192.23,C935058782,100184,155376.23,C484654669,100738.22,45545.98,0
13,PAYMENT,11036.57,C1016843457,430821.09,419784.52,M667653908,0,0,0
94,PAYMENT,1916.31,C105334051,20976,19059.69,M872429492,0,0,0
21,PAYMENT,8147.37,C1691219250,11350.61,3203.24,M1882507384,0,0,0
14,PAYMENT,729.08,C374518682,557105,556375.92,M2030312105,0,0,0
10,PAYMENT,12500.25,C1346440833,196322.57,183822.32,M1552008682,0,0,0
12,CASH_OUT,111699.58,C603641892,0,0,C2044086765,156553.19,207732.42,0
11,PAYMENT,4021.02,C1626231311,637950.95,633929.93,M372213459,0,0,0
20,PAYMENT,1603.48,C1364310672,72150,70546.52,M1733141083,0,0,0
41,CASH_OUT,303763.58,C588893804,385,0,C964285182,18262.68,322026.26,0
9,CASH_OUT,55987.3,C1547206745,0,0,C720759478,8118536.09,8044305.22,0
41,CASH_OUT,220548.79,C66630493,0,0,C170746717,264055.6,484604.39,0
16,CASH_OUT,225744.22,C1418166076,61980,0,C905759821,0,0,0
36,CASH_OUT,171630.39,C1425167398,0,0,C1652735570,274202.49,445832.88,0
17,PAYMENT,11728.35,C1257300567,0,0,M1694633217,0,0,0
40,CASH_OUT,96762.71,C81903282,0,0,C1910009806,151148.52,247911.24,0
34,CASH_OUT,172192.55,C442365498,0,0,C1124805422,1306817.48,1479010.04,0
22,CASH_OUT,375200.14,C1790932788,0,0,C463087796,399193.51,774393.65,0
40,CASH_OUT,304150.85,C1288872850,12408,0,C1541154823,385538.33,689689.18,0
35,CASH_OUT,123772.84,C685089163,0,0,C461232215,911420.63,1035193.47,0
13,PAYMENT,2769.97,C1989389629,61971.4,59201.42,M303666305,0,0,0
18,CASH_IN,172392.11,C331096861,31994.93,204387.04,C1819642049,739069.41,566677.31,0
13,CASH_OUT,154659.94,C1416464756,270547.71,115887.77,C1757877803,5214812.12,5369472.06,0
44,PAYMENT,7955.94,C1636503682,120364.14,112408.2,M1197817442,0,0,0
34,CASH_OUT,195028.07,C861532793,0,0,C679921339,807394.7,1002422.77,0
17,PAYMENT,25137.61,C183303920,0,0,M674171873,0,0,0
42,CASH_OUT,113657.86,C1518508008,351846.4,238188.54,C764744375,548119.97,661777.83,0
40,CASH_OUT,176142.61,C320014240,88619,0,C1223529864,1147980.15,1324122.76,0
10,CASH_OUT,141943.72,C55487783,0,0,C2036822517,3700516.04,7389896.21,0
36,CASH_OUT,167207.94,C1850827666,0,0,C2085805920,3949223.79,4116431.73,0
45,CASH_OUT,14066.24,C1086431111,15890,1823.76,C1371929292,1393298.28,1407364.52,0
42,CASH_IN,198433.02,C1311466977,0,198433.02,C1473128204,7633938.59,7435505.57,0
42,CASH_IN,148272.58,C675297017,628466.91,776739.49,C664646816,848219.02,699946.44,0
41,PAYMENT,15324.22,C1391937614,118630,103305.78,M1887482238,0,0,0
38,TRANSFER,35700.65,C202650331,186,0,C918325704,186972,222672.65,0
38,PAYMENT,3729.41,C1480901134,260359.79,256630.38,M1012890108,0,0,0
8,CASH_OUT,2781.73,C1493844856,4404413.39,4401631.66,C426416592,2098605.32,2151663.79,0
41,CASH_OUT,134235.09,C855689674,0,0,C159940962,146598.41,280833.5,0
17,PAYMENT,6533.49,C921375456,0,0,M780978033,0,0,0
43,PAYMENT,17385.17,C728452058,26474,9088.83,M423399976,0,0,0
39,TRANSFER,209766.85,C1303208085,0,0,C1154830994,491783.92,997255.52,0
20,PAYMENT,5072.83,C687200173,25013,19940.17,M1012639563,0,0,0
46,PAYMENT,10396.71,C1308093934,52224,41827.29,M1963160397,0,0,0
7,CASH_OUT,335382.77,C2131112620,0,0,C1671179293,892123.47,686937.33,0
35,TRANSFER,169753.63,C1748823229,65493,0,C2044711780,1438300.88,1608054.51,0
10,PAYMENT,428.63,C1162474405,0,0,M1834602544,0,0,0
94,CASH_OUT,156390.12,C2092627491,0,0,C143791945,312607.32,468997.43,0
11,PAYMENT,3369.2,C725379550,11191,7821.8,M607485898,0,0,0
17,CASH_IN,173742.74,C1838341925,29948,203690.74,C2109216750,0,0,0
